"{19.0,6.0}->1.5"
"{19.0,6.0}->1.6"
"{19.0,6.0}->2.0"
"{7.0,15.0}->2.0"
"{18.0,7.0}->4.2"
"{18.0,7.0}->4.7"
"{24.0,5.0}->4.8"
"{17.0,6.0}->4.9"
"{13.0,15.0}->3.9"
"{19.0,6.0}->2.4"
"{8.0,22.0}->2.8"
"{16.0,9.0}->3.0"
"{19.0,6.0}->3.1"
"{8.0,22.0}->3.3"
"{13.0,15.0}->3.6"
"{4.0,15.0}->3.7"
"{18.0,4.0}->3.7"
"{16.0,9.0}->4.0"
"{13.0,15.0}->4.0"
"{12.0,15.0}->3.0"
"{12.0,15.0}->3.2"
