21.0,5.0,0.9
4.0,15.0,1.0
10.0,4.0,1.2
4.0,13.0,1.2
20.0,6.0,1.3
11.0,6.0,1.4
5.0,7.0,1.5
9.0,5.0,1.5
17.0,7.0,1.5
8.0,10.0,1.5
8.0,17.0,1.5
24.0,9.0,1.5
10.0,6.0,1.6
8.0,13.0,1.6
17.0,6.0,1.7
18.0,6.0,1.7
18.0,10.0,1.7
11.0,15.0,1.8
16.0,15.0,1.9
6.0,22.0,2.0
8.0,18.0,2.0
11.0,4.0,2.1
16.0,9.0,2.2
32.0,24.0,2.3
16.0,4.0,2.8
10.0,3.0,4.9
10.0,5.0,3.3
20.0,4.0,5.3
8.0,18.0,4.0
10.0,15.0,4.2
10.0,30.0,4.2
21.0,23.0,4.2
25.0,10.0,4.5
19.0,6.0,4.7
8.0,22.0,4.7
9.0,11.0,4.7
17.0,19.0,4.8
16.0,10.0,4.9
5.0,14.0,5.3
11.0,15.0,5.0
24.0,20.0,5.0
22.0,7.0,5.2
24.0,16.0,5.2
17.0,21.0,5.2
17.0,18.0,6.0
21.0,15.0,6.1
24.0,9.0,6.2
28.0,20.0,6.2
25.0,18.0,6.3
33.0,29.0,6.3
11.0,7.0,6.6
14.0,15.0,7.3
25.0,22.0,7.3
25.0,23.0,7.3
20.0,13.0,7.5
8.0,9.0,3.5
14.0,7.0,3.6
9.0,12.0,3.6
18.0,26.0,3.6
8.0,6.0,3.7
8.0,10.0,3.7
13.0,6.0,3.8
6.0,15.0,3.8
10.0,7.0,3.8
12.0,7.0,3.8
10.0,19.0,3.8
11.0,13.0,3.8
12.0,15.0,3.8
17.0,14.0,3.8
18.0,20.0,3.8
7.0,15.0,4.0
9.0,14.0,4.0
11.0,20.0,4.0
17.0,20.0,4.1
18.0,10.0,4.2
17.0,13.0,4.2
9.0,19.0,4.6
10.0,21.0,4.6
16.0,14.0,4.8
16.0,18.0,4.9
16.0,20.0,5.2
18.0,21.0,5.2
28.0,29.0,5.2
25.0,20.0,5.3
18.0,15.0,5.5
17.0,15.0,5.6
17.0,19.0,5.9
25.0,22.0,6.1
27.0,30.0,7.5
16.0,27.0,2.25
9.0,17.0,2.7
24.0,14.0,2.7
10.0,19.0,2.8
17.0,11.0,2.8
19.0,13.0,2.8
3.0,15.0,3.7
8.0,27.0,3.1
9.0,23.0,3.1
6.0,22.0,3.2
12.0,4.0,3.3
5.0,13.0,3.3
9.0,21.0,3.3
10.0,30.0,3.3
17.0,12.0,3.3
18.0,12.0,3.3
20.0,13.0,3.4
6.0,7.0,3.5
17.0,7.0,3.5
9.0,10.0,3.5
10.0,31.0,3.5
16.0,11.0,3.5
17.0,5.0,3.7
5.0,21.0,3.7
11.0,6.0,3.7
11.0,14.0,3.7
12.0,13.0,3.8
18.0,15.0,3.8
16.0,7.0,3.9
24.0,5.0,4.0
18.0,6.0,4.0
8.0,17.0,4.0
10.0,13.0,4.0
9.0,15.0,4.1
10.0,21.0,4.1
4.0,30.0,2.9
17.0,7.0,2.9
8.0,23.0,2.9
8.0,28.0,2.9
10.0,19.0,2.9
10.0,22.0,2.9
24.0,11.0,2.9
19.0,14.0,2.9
32.0,18.0,2.9
19.0,23.0,3.0
10.0,29.0,3.1
18.0,29.0,3.2
8.0,15.0,3.3
6.0,23.0,3.5
9.0,22.0,3.5
